493	0	2.0	1293840000
3768	0	5.0	1145404800
1960	0	5.0	1011744000
3982	0	5.0	1384387200
2588	1	5.0	1184025600
2406	1	5.0	1216080000
2238	1	5.0	1277164800
1648	1	4.0	1225584000
3795	1	5.0	1326240000
759	1	5.0	1386633600
2544	2	5.0	1070582400
731	2	4.0	1371340800
1209	2	5.0	1340323200
1010	2	5.0	1303776000
899	2	5.0	1375056000
3853	2	5.0	1316649600
2495	2	5.0	1380672000
985	2	4.0	1099008000
2927	2	1.0	1393027200
3678	2	5.0	1344988800
3930	2	3.0	1269820800
3432	2	5.0	1401321600
2807	2	5.0	1374019200
4514	2	5.0	1355702400
3374	2	5.0	1376956800
2713	3	5.0	1386806400
4473	3	2.0	1071532800
2528	3	5.0	1362096000
1333	3	5.0	1352851200
3548	3	4.0	1294876800
857	4	5.0	1288310400
520	4	4.0	1324512000
1616	4	5.0	1292457600
1845	4	5.0	1289347200
4832	4	5.0	1290470400
4557	4	5.0	1289692800
4884	4	5.0	1291766400
3805	4	5.0	1289174400
102	4	3.0	1288656000
1132	4	5.0	1292284800
636	4	5.0	1291334400
4483	4	5.0	1294012800
3255	4	5.0	1289952000
2477	4	5.0	1282176000
3384	4	4.0	1295481600
4011	4	5.0	1332806400
2718	4	4.0	1293062400
907	4	5.0	1288742400
3601	4	5.0	1290470400
4554	4	4.0	1292457600
4876	4	5.0	1369699200
208	4	5.0	1289865600
4254	4	5.0	1294444800
845	4	4.0	1318723200
461	4	5.0	1288656000
3698	4	4.0	1290038400
3693	4	4.0	1290038400
2108	4	5.0	1289347200
135	4	5.0	1290038400
1061	4	5.0	1355702400
3144	4	5.0	1294272000
1919	4	5.0	1290556800
4096	4	5.0	1290297600
3809	4	5.0	1294012800
318	5	5.0	1069545600
2562	5	5.0	1392163200
24	5	4.0	1387497600
2030	5	5.0	1393718400
3315	5	3.0	1363651200
3391	5	4.0	1109462400
3174	5	1.0	1276646400
2175	5	4.0	1354233600
1439	5	5.0	1374451200
4068	5	5.0	1063065600
60	5	5.0	1330300800
128	6	5.0	1303689600
3435	6	5.0	1285027200
4592	6	5.0	1229731200
3174	6	5.0	1286841600
1648	6	5.0	1220745600
4619	7	1.0	1354147200
2720	7	3.0	1233360000
2998	7	4.0	1007164800
4901	7	1.0	1383609600
4424	8	4.0	1393977600
883	8	5.0	1345248000
1530	8	5.0	1356307200
925	8	5.0	1315872000
1130	8	5.0	1403049600
671	8	5.0	1326585600
4868	8	4.0	1403481600
28	8	5.0	1341014400
2777	8	5.0	1357084800
3964	8	5.0	1398729600
2624	8	5.0	1360454400
4626	8	5.0	1337299200
4079	8	4.0	1348963200
3433	9	5.0	1405123200
4086	9	5.0	1383955200
3007	9	5.0	1401494400
4759	9	5.0	1389398400
1003	10	5.0	1398556800
3336	10	5.0	1391212800
1417	10	5.0	1353801600
3692	10	4.0	1377820800
1155	10	3.0	1393200000
4618	10	5.0	1283126400
74	10	1.0	1393113600
890	10	5.0	1366156800
2475	10	4.0	1264464000
